station,state,latitude,longitude,elevation,month,minimum temperature (F),maximum temperature (F),average temperature (F),average daily wind speed (miles per hour),direction of fastest 5 second wind (degrees),fastest 5 second wind speed (miles per hour),snowfall (inch),snow depth (inch),precipitation (inch)
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,August,60.98,80.06,69.08,4.921268,360,16.105968,0,0,0
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,August,55.94,78.98,66.74,3.579104,360,14.092722,0,0,0
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,January,7.16,17.24,15.8,16.105968,360,38.02798,4.0944904,7.086618,0.20078751
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,January,6.26,35.06,33.08,16.553356,360,40.041226,0,3.93701,0
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,August,55.04,75.02,63.14,10.289924,360,23.935258,0,0,0.05118113
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,August,51.98,80.06,66.74,2.908022,360,12.974252,0,0,0
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,August,57.02,82.94,69.62,5.816044,360,17.000744,0,0,0
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,August,60.08,80.06,69.08,7.158208,360,16.105968,0,0,0
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,January,22.1,30.2,24.44,7.82929,360,23.040482,1.181103,1.968505,0.05118113
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,August,51.08,60.08,56.84,10.289924,360,31.093466,0,0,1.40157556
ABERDEEN,SD,45.4558,-98.4131,396.8,August,60.08,86,74.66,8.052984,360,21.027236,0,0,0
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,August,57.92,78.08,66.2,5.816044,360,19.01399,0,0,0
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,January,30.2,37.94,37.04,10.513618,360,25.948504,0,0,0
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,August,64.94,87.08,75.2,5.59235,360,29.08022,0,0,0
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,August,64.04,87.98,75.56,4.026492,360,12.079476,0,0,0
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,August,55.94,77,73.94,13.42164,360,31.988242,0,0,0
OMAHA EPPLEY AIRFIELD,NE,41.3103,-95.8992,299.3,January,5.18,21.2,11.66,6.71082,360,23.040482,0,0,0
OMAHA EPPLEY AIRFIELD,NE,41.3103,-95.8992,299.3,August,62.96,87.08,74.66,4.47388,360,16.105968,0,0,0
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,August,60.08,86,70.34,5.368656,360,27.96175,0,0,0
KAHULUI AP,HI,20.8997,-156.4286,15.5,January,66.92,78.08,73.22,9.171454,360,19.01399,0,0,0
CHILDRESS MUNI AP,TX,34.4272,-100.2831,594.7,January,31.1,53.06,42.62,14.316416,360,34.001488,0,0,0
LUBBOCK,TX,33.6542,-101.8136,993.3,August,64.94,82.04,74.12,4.697574,360,29.08022,0,0,1.75984347
LUBBOCK,TX,33.6542,-101.8136,993.3,August,68,87.08,75.56,7.381902,360,23.935258,0,0,0
AMARILLO,TX,35.2333,-101.7089,1093.3,August,66.02,77,72.86,12.30317,360,29.08022,0,0,0
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,January,15.26,35.96,24.26,4.026492,360,14.987498,0,0,0
GRAND JUNCTION WALKER FLD,CO,39.1342,-108.54,1480.7,August,68,96.98,83.12,13.197946,360,38.922756,0,0,0
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,January,-19.84,35.96,27.32,14.316416,360,36.014734,2.9921276,3.93701,0.35826791
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,August,59,91.04,75.56,8.276678,360,38.922756,0,0,0
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,August,50,87.08,69.44,8.500372,360,36.014734,0,0,0.01181103
BISHOP AP,CA,37.3711,-118.3581,1250.3,January,18.14,41,31.82,4.250186,360,23.040482,0,0,0
BISHOP AP,CA,37.3711,-118.3581,1250.3,August,59,93.02,75.74,7.605596,360,27.96175,0,0,0
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,August,84.92,111.02,97.88,5.59235,360,17.000744,0,0,0
BISMARCK,ND,46.7708,-100.7603,505.4,August,62.06,87.08,77.36,7.82929,360,21.027236,0,0,0
CHEYENNE,WY,41.1519,-104.8061,1867.8,January,7.16,31.1,25.16,8.052984,360,42.949248,1.4960638,0,0.0787402
CHEYENNE,WY,41.1519,-104.8061,1867.8,August,55.94,80.96,68.54,12.30317,360,31.988242,0,0,0
CHEYENNE,WY,41.1519,-104.8061,1867.8,August,53.06,82.04,67.82,8.724066,360,36.014734,0,0,0.75196891
VALENTINE MILLER FLD,NE,42.8783,-100.55,789.4,January,25.16,37.04,32.36,8.500372,360,23.040482,0.5118113,1.181103,0.01968505
VALENTINE MILLER FLD,NE,42.8783,-100.55,789.4,August,57.02,80.96,67.64,4.921268,360,21.922012,0,0,0.22047256
BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,January,-5.8,7.16,6.08,6.71082,360,19.908766,1.6929143,9.842525,0.0787402
BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,August,55.94,69.98,68.36,8.500372,360,34.001488,0,0,0
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,January,9.14,27.14,12.02,11.408394,360,40.041226,0.1968505,3.93701,0.01181103
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,January,21.2,33.08,31.28,11.1847,360,29.08022,1.1023628,1.181103,0.05118113
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,August,48.02,71.96,59.9,10.06623,360,29.08022,0,0,0
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,August,55.94,69.98,64.76,8.724066,360,21.922012,0,0,0
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,August,51.98,93.92,73.94,4.250186,360,25.053728,0,0,0
PENDLETON,OR,45.6906,-118.8528,461.8,August,62.96,100.94,81.68,7.82929,360,21.922012,0,0,0
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,January,-15.88,18.14,-6.88,5.59235,360,16.105968,1.2992133,12.992133,0.1181103
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,August,57.92,86,70.34,6.039738,360,17.000744,0,0,0
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,January,39.02,42.98,39.2,4.921268,360,12.974252,0,0,1.29133928
RED BLUFF MUNI AP,CA,40.1519,-122.2536,107.6,January,26.24,46.94,35.96,5.59235,360,17.000744,0,0,0
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,January,29.12,37.94,35.06,5.816044,360,18.119214,0,0,0.05905515
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,January,21.2,33.98,29.84,12.079476,360,31.093466,0.5905515,0.9842525,0.0787402
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,January,24.26,29.12,27.5,7.381902,360,16.105968,4.4881914,5.0000027,0.61811057
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,August,51.98,98.06,74.84,7.605596,360,31.093466,0,0,0
OLYMPIA AP,WA,46.9733,-122.9033,57.3,August,55.94,96.08,74.12,3.35541,360,14.092722,0,0,0
SALEM MCNARY FLD,OR,44.905,-123.0011,62.5,January,39.92,46.94,42.62,3.802798,360,14.092722,0,0,0
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,January,33.98,44.06,40.64,11.1847,360,25.053728,0,0,0
REDDING MUNI AP,CA,40.5175,-122.2986,151.5,January,33.08,41,38.48,2.013246,360,14.092722,2.9921276,0,0.98031549
KING SALMON,AK,58.6794,-156.6294,19.2,January,17.24,33.08,28.4,4.921268,360,14.987498,0,0,0
KING SALMON,AK,58.6794,-156.6294,19.2,January,11.12,24.26,19.22,4.250186,360,10.961006,0,0,0
KING SALMON,AK,58.6794,-156.6294,19.2,January,7.16,19.22,16.34,9.842536,360,25.053728,0,0,0
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,January,10.22,20.12,14.36,14.316416,360,35.119958,0,9.055123,0
BETTLES AP,AK,66.9161,-151.5089,195.7,January,-27.76,-14.8,-19.84,1.789552,360,8.94776,0,20.078751,0
NOME MUNI AP,AK,64.5111,-165.44,4,January,-0.76,4.1,4.82,0.447388,360,8.052984,0,17.9921357,0
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,January,18.14,35.96,25.7,3.579104,360,17.000744,0,0,0
COLORADO SPRINGS MUNI AP,CO,38.81,-104.6883,1884,January,1.22,8.24,6.08,6.71082,360,19.01399,3.1102379,1.181103,0.16929143
COLORADO SPRINGS MUNI AP,CO,38.81,-104.6883,1884,August,60.08,80.96,70.16,9.618842,360,31.988242,0,0,0
COLORADO SPRINGS MUNI AP,CO,38.81,-104.6883,1884,August,55.94,62.96,59.18,7.82929,360,25.948504,0,0,0.77952798
DALHART MUNI AP,TX,36.0167,-102.55,1216.2,August,66.02,84.02,74.84,8.500372,360,29.08022,0,0,0
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,January,24.26,33.08,30.38,7.605596,360,23.935258,0.1181103,0,0.01181103
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,January,24.26,31.1,29.48,9.618842,360,21.922012,0.1181103,0,0.01181103
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,January,18.14,30.2,25.7,14.316416,360,33.106712,10.0000054,3.93701,0.77165396
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,January,14.18,25.16,23.72,6.934514,360,17.000744,0.393701,0,0.05118113
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,January,5.18,20.12,12.2,6.039738,360,18.119214,0,0,0
INDIANAPOLIS,IN,39.7075,-86.2803,240.8,August,66.02,80.06,70.88,8.724066,360,29.08022,0,0,0
LEXINGTON BLUEGRASS AP,KY,38.0408,-84.6058,298.7,August,60.08,82.04,70.16,6.263432,360,18.119214,0,0,0
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,January,12.2,20.12,17.42,9.618842,360,19.01399,0,1.968505,0
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,January,9.14,20.12,13.1,9.842536,360,19.01399,0,0,0
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,August,64.94,84.92,74.84,7.605596,360,19.01399,0,0,0
TUPELO RGNL AP,MS,34.2622,-88.7714,110,January,51.08,59,53.24,3.35541,360,6.934514,0,0,0.09055123
GULFPORT - BILOXI AP,MS,30.4119,-89.0808,12.8,January,25.16,41,33.44,16.553356,360,36.014734,0,0,0
ASTORIA RGNL AP,OR,46.1569,-123.8825,2.7,January,35.96,46.04,41.54,3.131716,360,16.105968,0,0,0
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,January,21.2,25.16,24.08,13.42164,360,29.08022,5.7086645,0,0.22047256
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,August,66.02,89.06,76.28,7.605596,360,25.948504,0,0,0.25984266
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,August,55.94,73.94,64.04,5.368656,360,25.053728,0,0,0
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,August,53.06,71.96,60.62,14.092722,360,38.922756,0,0,0
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,January,4.1,12.2,11.12,8.724066,350,23.040482,1.4960638,0,0.09842525
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,January,25.16,35.06,32.72,12.750558,350,27.96175,4.8031522,0,0.33858286
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,August,60.08,82.04,70.52,7.605596,350,21.027236,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,January,18.14,28.22,26.06,8.94776,350,19.01399,0.1968505,0,0.01968505
PADUCAH,KY,37.0683,-88.7719,119.5,January,7.16,24.26,14.36,6.263432,350,19.908766,0,0,0
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,January,24.26,44.06,32.9,4.47388,350,16.105968,0,0,0
SAVANNAH INTL AP,GA,32.13,-81.21,14,August,75.02,93.02,82.04,7.158208,350,27.96175,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,January,31.1,55.04,48.2,10.513618,350,25.053728,0,0,0
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,August,62.06,73.94,66.2,3.802798,350,14.092722,0,0,0.50000027
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,January,14.18,21.2,19.76,7.158208,350,19.908766,0.9842525,3.93701,0
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,August,57.92,80.96,69.26,2.23694,350,14.987498,0,0,0
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,August,55.94,73.94,66.38,6.487126,350,19.908766,0,0,0.01968505
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,January,13.1,21.2,19.22,13.197946,350,25.053728,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,January,37.04,46.94,42.98,7.381902,350,23.040482,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,January,23.18,37.04,33.62,18.566602,350,36.90951,0,0,0
WICHITA,KS,37.6544,-97.4425,406.9,January,39.92,57.92,49.64,10.06623,350,29.974996,0,0,0.05118113
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,January,51.98,73.94,61.52,5.816044,350,19.01399,0,0,0
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,August,73.04,84.92,77.36,2.013246,350,8.94776,0,0,0.01968505
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,August,64.04,89.06,77,5.368656,350,21.922012,0,0,0
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,August,51.98,78.08,66.38,4.921268,350,18.119214,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,January,25.16,37.04,30.92,9.395148,350,25.948504,0,0,0
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,January,42.98,73.04,64.76,14.763804,350,31.093466,0,0,0.53149635
MIAMI INTL AP,FL,25.7906,-80.3164,8.8,January,51.08,69.98,59.18,12.974252,350,35.119958,0,0,0
WEST PALM BEACH INTL AP,FL,26.6847,-80.0994,5.8,January,44.06,66.02,53.78,17.448132,350,36.90951,0,0,0
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,January,27.14,39.02,33.44,15.211192,350,35.119958,0,0,0
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,August,77,95,85.46,4.250186,350,23.935258,0,0,0
BROWNSVILLE,TX,25.9156,-97.4186,7,January,35.96,64.94,46.94,7.605596,350,19.908766,0,0,0
CORPUS CHRISTI,TX,27.7839,-97.5108,13.7,January,26.24,46.04,34.16,15.211192,350,35.119958,0,0,0
HOUSTON INTERCONT AP,TX,29.98,-95.36,29,January,42.08,53.06,50.18,7.82929,350,27.066974,0,0,0
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,August,62.06,86,73.76,2.23694,350,16.105968,0,0,0
RICHMOND INTL AP,VA,37.505,-77.3203,50,January,28.22,37.04,35.24,8.500372,350,23.935258,0.1181103,0,0.01181103
RICHMOND INTL AP,VA,37.505,-77.3203,50,January,12.2,29.12,23.18,12.750558,350,29.08022,7.0078778,3.149608,0.55905542
RICHMOND INTL AP,VA,37.505,-77.3203,50,January,25.16,41,36.5,10.06623,350,31.093466,0,0,0.05118113
RICHMOND INTL AP,VA,37.505,-77.3203,50,August,64.94,80.06,73.04,6.71082,350,19.01399,0,0,0.83858313
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,August,64.04,80.06,72.14,6.934514,350,19.908766,0,0,0
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46,January,39.92,57.02,54.32,7.381902,350,21.027236,0,0,0
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,August,71.06,87.08,77.72,2.460634,350,12.974252,0,0,0
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,August,71.06,93.92,80.24,3.579104,350,19.01399,0,0,0
CHARLESTON YEAGER AP,WV,38.3794,-81.59,277.4,August,64.94,75.92,68.54,3.579104,350,12.974252,0,0,0.96850446
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,January,46.94,64.94,54.14,2.684328,350,16.105968,0,0,0.72834685
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,August,73.04,91.94,79.16,2.013246,350,21.922012,0,0,0.01968505
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,January,15.26,35.06,23.54,9.618842,350,21.922012,0,0,0
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,January,23.18,35.06,33.44,12.079476,350,23.935258,0.3149608,0,0.16141741
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,January,17.24,31.1,23.54,12.974252,350,31.093466,0,0,0
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,August,71.96,75.92,73.76,0.447388,350,10.06623,0,0,2.57874155
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,August,62.96,80.96,72.68,2.684328,350,14.092722,0,0,0
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,January,44.06,62.96,53.42,6.039738,350,19.908766,0,0,0
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,January,33.98,60.08,52.88,6.263432,350,29.08022,0,0,0
MOBILE,AL,30.6794,-88.2397,63.4,January,24.26,37.94,31.82,17.671826,350,35.119958,0,0,0
MOBILE,AL,30.6794,-88.2397,63.4,August,73.04,78.98,76.82,4.250186,350,12.974252,0,0,0.38188997
AUSTIN BERGSTROM AP,TX,30.1831,-97.68,146.3,January,33.08,48.02,46.04,9.842536,350,25.053728,0,0,0
ABILENE RGNL AP,TX,32.4106,-99.6822,545.6,January,31.1,55.04,48.92,12.079476,350,27.96175,0,0,0
WICHITA FALLS MUNI AP,TX,33.9786,-98.4928,310,January,31.1,51.98,45.14,14.987498,350,29.08022,0,0,0
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,January,27.14,48.02,40.64,21.25093,350,38.02798,0,0,0
TULSA INTL AP,OK,36.1994,-95.8872,198.1,January,18.14,30.2,25.7,14.54011,350,27.96175,0,0,0
TULSA INTL AP,OK,36.1994,-95.8872,198.1,January,9.14,21.2,18.32,7.82929,350,21.922012,0.1968505,0,0.01181103
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,January,23.18,48.02,38.48,16.553356,350,34.001488,0,0,0
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,August,66.92,100.04,80.96,14.763804,350,53.015478,0,0,1.46063071
