Maker,Model,Release_year,Max_resolution,Low_resolution,Effective_megapixels,Zoom_wide(mm),Zoom_tele(mm),Normal_focus_range(mm),Macro_focus_range(mm),Storage_included(GB),Weight(g),Dimensions(mm),Price(dollars)
Casio,Casio Exilim EX-S880,1/1/2007,3264.00,2816.00,8.00,38.00,114.00,50.00,15.00,10.00,138.00,94.50,249.00
Casio,Casio Exilim EX-V7,1/1/2007,3072.00,2560.00,7.00,38.00,266.00,30.00,10.00,11.00,190.00,96.00,299.00
Casio,Casio Exilim EX-V8,1/1/2007,3264.00,2816.00,8.00,38.00,266.00,40.00,10.00,11.00,199.00,96.00,299.00
Casio,Casio Exilim EX-Z1050,1/1/2007,3648.00,2560.00,10.00,38.00,114.00,40.00,10.00,15.00,165.00,91.00,329.00
Casio,Casio Exilim EX-Z1080,1/1/2007,3648.00,2560.00,10.00,38.00,114.00,40.00,10.00,11.00,165.00,91.00,329.00
Casio,Casio Exilim EX-Z1200 SR,1/1/2007,4000.00,3264.00,12.00,37.00,111.00,40.00,6.00,11.00,162.00,93.00,329.00
Casio,Casio Exilim EX-Z75,1/1/2007,3072.00,2560.00,7.00,38.00,114.00,40.00,10.00,8.00,156.00,95.00,199.00
Casio,Casio Exilim EX-Z77,1/1/2007,3072.00,2560.00,7.00,38.00,114.00,40.00,10.00,11.00,128.00,95.00,199.00
Fujifilm,Fujifilm FinePix A610,1/1/2007,2848.00,2048.00,6.00,39.00,117.00,60.00,10.00,10.00,195.00,98.00,169.00
Fujifilm,Fujifilm FinePix A800,1/1/2007,3296.00,2304.00,8.00,36.00,108.00,50.00,10.00,10.00,200.00,98.00,169.00
Fujifilm,Fujifilm FinePix A820,1/1/2007,3296.00,2304.00,8.00,39.00,156.00,60.00,10.00,10.00,205.00,98.00,169.00
Fujifilm,Fujifilm FinePix A900,1/1/2007,3488.00,2048.00,9.00,39.00,156.00,60.00,10.00,10.00,205.00,98.00,169.00
Fujifilm,Fujifilm FinePix A920,1/1/2007,3488.00,2592.00,9.00,39.00,156.00,60.00,10.00,10.00,206.00,98.00,169.00
Fujifilm,Fujifilm FinePix F40 fd,1/1/2007,3296.00,2304.00,8.00,36.00,108.00,45.00,7.00,25.00,181.00,96.00,199.00
Fujifilm,Fujifilm FinePix F480 Zoom,1/1/2007,3264.00,2304.00,8.00,28.00,112.00,40.00,5.00,12.00,170.00,96.00,169.00
Fujifilm,Fujifilm FinePix F50 fd,1/1/2007,4000.00,2848.00,12.00,35.00,105.00,45.00,7.00,25.00,205.00,93.00,199.00
Fujifilm,Fujifilm FinePix IS-1,1/1/2007,3488.00,2592.00,9.00,28.00,300.00,0.00,0.00,0.00,750.00,128.00,169.00
Fujifilm,Fujifilm FinePix S5700 Zoom,1/1/2007,3072.00,2304.00,7.00,38.00,380.00,30.00,10.00,27.00,406.00,106.00,229.00
Fujifilm,Fujifilm FinePix S8000 fd,1/1/2007,3264.00,2304.00,8.00,27.00,486.00,70.00,10.00,58.00,510.00,111.00,399.00
Fujifilm,Fujifilm FinePix Z10  fd,1/1/2007,3072.00,2304.00,7.00,38.00,114.00,60.00,8.00,54.00,160.00,91.00,399.00
Fujifilm,Fujifilm FinePix IS Pro,1/1/2007,4256.00,3024.00,6.00,0.00,0.00,0.00,0.00,0.00,920.00,147.00,1699.00
HP,HP Photosmart E337,1/1/2007,2576.00,0.00,5.00,36.00,36.00,100.00,0.00,16.00,170.00,96.00,179.00
HP,HP Photosmart M437,1/1/2007,2576.00,0.00,5.00,38.00,114.00,50.00,10.00,16.00,190.00,95.00,179.00
HP,HP Photosmart M537,1/1/2007,2848.00,0.00,6.00,38.00,114.00,50.00,0.00,32.00,157.00,90.00,179.00
HP,HP Photosmart Mz67,1/1/2007,3264.00,0.00,8.00,35.00,210.00,0.00,14.00,32.00,157.00,90.00,179.00
HP,HP Photosmart R742,1/1/2007,3096.00,0.00,7.00,36.00,108.00,50.00,3.00,32.00,190.00,91.00,179.00
HP,HP Photosmart R837,1/1/2007,3112.00,0.00,7.00,39.00,118.00,50.00,12.00,32.00,227.00,105.00,179.00
HP,HP Photosmart R937,1/1/2007,3298.00,0.00,8.00,39.00,118.00,50.00,-1.00,-1.00,-1.00,-1.00,179.00
Kodak,Kodak C513,1/1/2007,2572.00,2048.00,5.00,36.00,108.00,60.00,13.00,16.00,188.00,91.00,126.00
Kodak,Kodak C613,1/1/2007,2848.00,2048.00,6.00,36.00,108.00,60.00,13.00,16.00,187.00,91.00,126.00
Kodak,Kodak C653,1/1/2007,2848.00,2304.00,6.00,36.00,108.00,60.00,10.00,22.00,195.00,89.00,126.00
Kodak,Kodak C763,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,60.00,5.00,32.00,180.00,90.00,126.00
Kodak,Kodak M753,1/1/2007,3056.00,2592.00,7.00,37.00,111.00,40.00,7.00,16.00,165.00,93.00,126.00
Kodak,Kodak M853,1/1/2007,3296.00,2592.00,8.00,37.00,111.00,40.00,7.00,16.00,165.00,93.00,146.00
Kodak,Kodak M873,1/1/2007,3264.00,2592.00,8.00,38.00,114.00,70.00,10.00,32.00,160.00,92.00,146.00
Kodak,Kodak M883,1/1/2007,3280.00,0.00,8.00,38.00,114.00,70.00,10.00,64.00,166.00,92.00,146.00
Kodak,Kodak V1003,1/1/2007,3648.00,2560.00,10.00,36.00,108.00,60.00,5.00,24.00,185.00,103.00,129.00
Kodak,Kodak V803,1/1/2007,3264.00,2560.00,8.00,36.00,108.00,60.00,5.00,24.00,185.00,103.00,146.00
Kodak,Kodak Z1275,1/1/2007,4000.00,2832.00,12.00,35.00,175.00,60.00,10.00,64.00,211.00,90.00,129.00
Kodak,Kodak Z712,1/1/2007,3072.00,2592.00,7.00,36.00,423.00,60.00,13.00,32.00,350.00,104.00,126.00
Kodak,Kodak Z885,1/1/2007,3264.00,2592.00,8.00,36.00,180.00,60.00,7.00,32.00,211.00,90.00,146.00
Nikon,Nikon Coolpix L10,1/1/2007,2560.00,2048.00,4.00,37.00,112.00,40.00,15.00,7.00,165.00,90.00,99.00
Nikon,Nikon Coolpix L11,1/1/2007,2816.00,2048.00,6.00,37.00,112.00,40.00,15.00,7.00,175.00,90.00,99.00
Nikon,Nikon Coolpix L12,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,50.00,15.00,21.00,175.00,91.00,99.00
Nikon,Nikon Coolpix L14,1/1/2007,3072.00,2048.00,7.00,38.00,114.00,60.00,10.00,23.00,225.00,91.00,129.00
Nikon,Nikon Coolpix L15,1/1/2007,3264.00,2592.00,8.00,35.00,105.00,50.00,15.00,32.00,225.00,91.00,159.00
Nikon,Nikon Coolpix P50,1/1/2007,3264.00,3200.00,8.00,28.00,102.00,50.00,5.00,52.00,210.00,95.00,229.00
Nikon,Nikon Coolpix P5000,1/1/2007,3648.00,2592.00,10.00,36.00,126.00,30.00,4.00,26.00,240.00,98.00,399.00
Nikon,Nikon Coolpix P5100,1/1/2007,4000.00,3264.00,12.00,35.00,123.00,30.00,4.00,52.00,250.00,98.00,399.00
Nikon,Nikon Coolpix S200,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,60.00,10.00,20.00,165.00,92.00,229.00
Nikon,Nikon Coolpix S50,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,30.00,4.00,13.00,165.00,88.00,229.00
Nikon,Nikon Coolpix S500,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,50.00,15.00,26.00,165.00,88.00,229.00
Nikon,Nikon Coolpix S50c,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,30.00,4.00,13.00,165.00,88.00,329.00
Nikon,Nikon Coolpix S51,1/1/2007,3264.00,2592.00,7.00,38.00,114.00,30.00,4.00,13.00,175.00,93.00,279.00
Nikon,Nikon Coolpix S510,1/1/2007,3264.00,3200.00,8.00,35.00,105.00,50.00,15.00,52.00,125.00,88.00,399.00
Nikon,Nikon Coolpix S51c,1/1/2007,3264.00,2592.00,7.00,38.00,114.00,30.00,4.00,13.00,175.00,98.00,329.00
Nikon,Nikon D3,1/1/2007,4256.00,3184.00,12.00,0.00,0.00,0.00,0.00,0.00,1300.00,160.00,4999.00
Nikon,Nikon D300,1/1/2007,4288.00,3216.00,12.00,0.00,0.00,0.00,0.00,0.00,925.00,147.00,1799.00
Nikon,Nikon D40X,1/1/2007,3872.00,2896.00,10.00,0.00,0.00,0.00,0.00,0.00,522.00,124.00,549.00
Olympus,Olympus E-3,1/1/2007,3648.00,3200.00,10.00,0.00,0.00,0.00,0.00,0.00,800.00,142.00,1699.00
Olympus,Olympus E-410,1/1/2007,3648.00,3200.00,10.00,0.00,0.00,0.00,0.00,0.00,435.00,130.00,1699.00
Olympus,Olympus E-510,1/1/2007,3648.00,3200.00,10.00,0.00,0.00,0.00,0.00,0.00,490.00,136.00,1699.00
Olympus,Olympus FE-210,1/1/2007,3072.00,2048.00,7.00,38.00,114.00,60.00,10.00,9.00,175.00,90.00,129.00
Olympus,Olympus FE-230,1/1/2007,3072.00,2048.00,7.00,38.00,114.00,60.00,10.00,20.00,145.00,91.00,129.00
Olympus,Olympus FE-240,1/1/2007,3072.00,2048.00,7.00,38.00,190.00,70.00,10.00,20.00,145.00,91.00,129.00
Olympus,Olympus FE-250,1/1/2007,3264.00,2048.00,8.00,38.00,105.00,60.00,10.00,20.00,155.00,94.00,129.00
Olympus,Olympus FE-270,1/1/2007,3072.00,2048.00,7.00,38.00,114.00,60.00,5.00,6.00,122.00,90.00,129.00
Olympus,Olympus FE-280,1/1/2007,3264.00,2048.00,8.00,36.00,108.00,60.00,5.00,48.00,108.00,92.00,179.00
Olympus,Olympus FE-290,1/1/2007,3072.00,2048.00,7.00,28.00,112.00,40.00,5.00,6.00,142.00,98.00,129.00
Olympus,Olympus FE-300,1/1/2007,4000.00,2048.00,12.00,35.00,105.00,60.00,10.00,48.00,115.00,94.00,129.00
Olympus,Olympus SP-550 UZ,1/1/2007,3072.00,2560.00,7.00,28.00,504.00,10.00,1.00,20.00,460.00,116.00,449.00
Olympus,Olympus SP-560 UZ,1/1/2007,3264.00,2560.00,8.00,27.00,486.00,10.00,1.00,47.00,365.00,116.00,449.00
Olympus,Olympus Stylus 1200,1/1/2007,4000.00,3264.00,12.00,35.00,105.00,60.00,10.00,47.00,125.00,98.00,249.00
Olympus,Olympus Stylus 760,1/1/2007,3072.00,2560.00,7.00,37.00,111.00,60.00,8.00,18.00,160.00,99.00,229.00
Olympus,Olympus Stylus 770 SW,1/1/2007,3072.00,2560.00,7.00,38.00,114.00,50.00,7.00,18.00,195.00,92.00,299.00
Olympus,Olympus Stylus 780,1/1/2007,3072.00,2560.00,7.00,36.00,180.00,70.00,3.00,18.00,195.00,100.00,299.00
Olympus,Olympus Stylus 790 SW,1/1/2007,3072.00,2560.00,7.00,38.00,114.00,50.00,7.00,14.00,155.00,92.00,299.00
Olympus,Olympus Stylus 820,1/1/2007,3264.00,2560.00,8.00,36.00,180.00,70.00,3.00,47.00,125.00,96.00,249.00
Olympus,Olympus Stylus 830,1/1/2007,3248.00,2560.00,8.00,36.00,180.00,70.00,3.00,14.00,125.00,100.00,249.00
Panasonic,Panasonic Lumix DMC-FX10,1/1/2007,2816.00,2048.00,6.00,35.00,105.00,50.00,5.00,27.00,155.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX100,1/1/2007,4000.00,3264.00,12.00,28.00,100.00,50.00,5.00,27.00,150.00,54.00,1499.00
Panasonic,Panasonic Lumix DMC-FX12,1/1/2007,3072.00,2560.00,7.00,35.00,105.00,50.00,5.00,27.00,155.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX30,1/1/2007,3072.00,2560.00,7.00,28.00,100.00,50.00,5.00,27.00,162.00,95.00,299.00
Panasonic,Panasonic Lumix DMC-FX33,1/1/2007,3264.00,2560.00,8.00,28.00,100.00,50.00,5.00,27.00,154.00,95.00,299.00
Panasonic,Panasonic Lumix DMC-FX55,1/1/2007,3264.00,2560.00,8.00,28.00,100.00,50.00,5.00,27.00,165.00,95.00,1499.00
Panasonic,Panasonic Lumix DMC-FZ18,1/1/2007,3264.00,2560.00,8.00,28.00,504.00,30.00,1.00,27.00,407.00,118.00,149.00
Panasonic,Panasonic Lumix DMC-FZ8,1/1/2007,3072.00,2560.00,7.00,36.00,432.00,30.00,5.00,27.00,340.00,113.00,149.00
Panasonic,Panasonic Lumix DMC-L10,1/1/2007,3648.00,2816.00,10.00,0.00,0.00,0.00,0.00,0.00,556.00,135.00,1499.00
Panasonic,Panasonic Lumix DMC-LS60,1/1/2007,2816.00,2048.00,6.00,35.00,105.00,50.00,5.00,27.00,188.00,94.00,149.00
Panasonic,Panasonic Lumix DMC-LS75,1/1/2007,3072.00,2560.00,7.00,35.00,105.00,50.00,5.00,27.00,188.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-LZ6,1/1/2007,3072.00,2560.00,7.00,37.00,222.00,50.00,5.00,27.00,230.00,99.00,149.00
Panasonic,Panasonic Lumix DMC-LZ7,1/1/2007,3072.00,2560.00,7.00,37.00,222.00,50.00,5.00,27.00,234.00,99.00,149.00
Panasonic,Panasonic Lumix DMC-TZ2,1/1/2007,2816.00,2048.00,6.00,28.00,280.00,50.00,5.00,13.00,260.00,105.00,299.00
Panasonic,Panasonic Lumix DMC-TZ3,1/1/2007,3072.00,2560.00,7.00,28.00,280.00,50.00,5.00,13.00,280.00,105.00,299.00
Pentax,Pentax K100D Super,1/1/2007,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,646.00,129.00,509.00
Pentax,Pentax Optio A30,1/1/2007,3648.00,3072.00,10.00,38.00,114.00,35.00,6.00,22.00,145.00,89.00,269.00
Pentax,Pentax Optio E30,1/1/2007,3072.00,2592.00,7.00,36.00,108.00,50.00,15.00,11.00,190.00,95.00,149.00
Pentax,Pentax Optio E40,1/1/2007,3264.00,2592.00,8.00,37.00,112.00,40.00,15.00,10.00,175.00,94.00,149.00
Pentax,Pentax Optio M30,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,40.00,10.00,22.00,120.00,97.00,269.00
Pentax,Pentax Optio M40,1/1/2007,3264.00,2592.00,8.00,36.00,108.00,40.00,5.00,21.00,136.00,97.00,149.00
Pentax,Pentax Optio S10,1/1/2007,3648.00,3072.00,10.00,38.00,114.00,35.00,6.00,22.00,116.00,86.00,249.00
Pentax,Pentax Optio T30,1/1/2007,3072.00,2592.00,7.00,38.00,112.00,40.00,15.00,20.00,155.00,95.00,269.00
Pentax,Pentax Optio W30,1/1/2007,3072.00,2560.00,7.00,38.00,114.00,40.00,1.00,21.00,155.00,108.00,269.00
Pentax,Pentax Optio Z10,1/1/2007,3264.00,2592.00,8.00,38.00,266.00,40.00,8.00,0.00,0.00,94.00,249.00
Ricoh,Ricoh Caplio R6,1/1/2007,3072.00,2592.00,7.00,28.00,200.00,30.00,1.00,54.00,165.00,100.00,99.00
Ricoh,Ricoh Caplio R7,1/1/2007,3264.00,3264.00,8.00,28.00,200.00,30.00,1.00,24.00,135.00,100.00,99.00
Ricoh,Ricoh Caplio GX100,1/1/2007,3648.00,3264.00,10.00,24.00,72.00,30.00,1.00,26.00,260.00,112.00,399.00
Samsung,Samsung i7,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,80.00,5.00,450.00,210.00,101.00,119.00
Samsung,Samsung i70,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,80.00,5.00,20.00,180.00,90.00,199.00
Samsung,Samsung i85,1/1/2007,3264.00,2592.00,8.00,36.00,108.00,80.00,5.00,173.00,0.00,95.00,149.00
Samsung,Samsung L83T,1/1/2007,3264.00,2592.00,8.00,38.00,114.00,80.00,5.00,19.00,160.00,93.00,229.00
Samsung,Samsung L700,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,80.00,5.00,20.00,170.00,97.00,199.00
Samsung,Samsung L73,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,80.00,5.00,19.00,180.00,98.00,119.00
Samsung,Samsung L730,1/1/2007,3264.00,2592.00,7.00,38.00,114.00,80.00,10.00,16.00,183.00,95.00,99.00
Samsung,Samsung L74 Wide,1/1/2007,3072.00,2592.00,7.00,28.00,101.00,80.00,5.00,450.00,210.00,105.00,119.00
Samsung,Samsung L77,1/1/2007,3072.00,2592.00,7.00,38.00,266.00,80.00,10.00,0.00,0.00,94.00,119.00
Samsung,Samsung L830,1/1/2007,3264.00,2592.00,8.00,38.00,114.00,80.00,5.00,10.00,183.00,95.00,99.00
Samsung,Samsung NV11,1/1/2007,3648.00,3136.00,10.00,35.00,190.00,80.00,1.00,0.00,240.00,107.00,229.00
Samsung,Samsung NV15,1/1/2007,3648.00,2592.00,10.00,34.00,102.00,80.00,4.00,20.00,0.00,97.00,229.00
Samsung,Samsung NV20,1/1/2007,4000.00,2592.00,12.00,34.00,102.00,80.00,4.00,20.00,0.00,97.00,229.00
Samsung,Samsung NV8,1/1/2007,3264.00,2592.00,8.00,34.00,102.00,80.00,4.00,20.00,0.00,97.00,229.00
Samsung,Samsung S1030,1/1/2007,3648.00,3476.00,10.00,35.00,105.00,80.00,4.00,45.00,220.00,100.00,199.00
Samsung,Samsung S1050,1/1/2007,3648.00,3476.00,10.00,38.00,190.00,80.00,1.00,45.00,254.00,105.00,199.00
Samsung,Samsung S630,1/1/2007,2816.00,2048.00,6.00,35.00,105.00,80.00,5.00,16.00,186.00,100.00,99.00
Samsung,Samsung S730,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,80.00,5.00,16.00,186.00,100.00,99.00
Samsung,Samsung S830,1/1/2007,3264.00,3072.00,8.00,35.00,105.00,80.00,4.00,45.00,220.00,100.00,99.00
Samsung,Samsung S85,1/1/2007,3264.00,2592.00,8.00,38.00,190.00,80.00,1.00,20.00,204.00,100.00,149.00
Samsung,Samsung S850,1/1/2007,3264.00,2592.00,8.00,38.00,190.00,80.00,1.00,20.00,222.00,104.00,149.00
Sony,Sony DSC-G1,1/1/2007,2816.00,2048.00,6.00,38.00,114.00,50.00,8.00,2.00,238.00,93.00,429.00
Sony,Sony DSC-H3,1/1/2007,3264.00,3264.00,8.00,38.00,380.00,50.00,2.00,31.00,264.00,106.00,429.00
Sony,Sony DSC-H7,1/1/2007,3264.00,2592.00,8.00,31.00,465.00,50.00,2.00,31.00,405.00,110.00,429.00
Sony,Sony DSC-H9,1/1/2007,3264.00,2592.00,8.00,31.00,465.00,50.00,2.00,31.00,440.00,110.00,429.00
Sony,Sony DSC-S650,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,35.00,5.00,24.00,178.00,91.00,149.00
Sony,Sony DSC-S700,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,35.00,5.00,24.00,178.00,91.00,149.00
Sony,Sony DSC-S800,1/1/2007,3264.00,2592.00,8.00,37.00,222.00,50.00,2.00,54.00,245.00,93.00,149.00
Sony,Sony DSC-T100,1/1/2007,3264.00,2592.00,8.00,35.00,175.00,50.00,1.00,31.00,197.00,92.00,399.00
Sony,Sony DSC-T20,1/1/2007,3264.00,2592.00,8.00,38.00,114.00,50.00,1.00,31.00,197.00,90.00,399.00
Sony,Sony DSC-T200,1/1/2007,3264.00,3264.00,8.00,35.00,175.00,50.00,1.00,31.00,160.00,94.00,399.00
Sony,Sony DSC-W200,1/1/2007,4000.00,3264.00,12.00,35.00,105.00,34.00,5.00,31.00,195.00,91.00,399.00
Sony,Sony DSC-W35,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,30.00,2.00,56.00,149.00,90.00,429.00
Sony,Sony DSC-W55,1/1/2007,3072.00,2592.00,7.00,38.00,114.00,30.00,2.00,56.00,147.00,90.00,429.00
Sony,Sony DSC-W80,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,50.00,4.00,31.00,175.00,91.00,149.00
Sony,Sony DSC-W90,1/1/2007,3254.00,2592.00,8.00,35.00,105.00,50.00,4.00,31.00,175.00,91.00,429.00
Sony,Sony DSLR-A700,1/1/2007,4272.00,3104.00,12.00,0.00,0.00,0.00,0.00,0.00,768.00,142.00,599.00
Canon,Canon PowerShot A420,1/1/2006,2272.00,1600.00,4.00,39.00,125.00,47.00,1.00,16.00,200.00,103.00,139.00
Canon,Canon PowerShot A430,1/1/2006,2272.00,1600.00,4.00,39.00,156.00,47.00,1.00,16.00,210.00,103.00,139.00
Canon,Canon PowerShot A530,1/1/2006,2592.00,2048.00,5.00,35.00,140.00,45.00,5.00,16.00,220.00,90.00,149.00
Canon,Canon PowerShot A540,1/1/2006,2816.00,2272.00,6.00,35.00,140.00,45.00,5.00,16.00,230.00,90.00,149.00
Canon,Canon PowerShot A630,1/1/2006,3264.00,2592.00,8.00,35.00,140.00,0.00,1.00,16.00,315.00,109.00,139.00
Canon,Canon PowerShot A640,1/1/2006,3648.00,2816.00,10.00,35.00,140.00,0.00,1.00,32.00,315.00,109.00,139.00
Canon,Canon PowerShot A700,1/1/2006,2816.00,2272.00,6.00,35.00,210.00,55.00,1.00,16.00,250.00,94.00,139.00
Canon,Canon PowerShot A710 IS,1/1/2006,3072.00,2592.00,7.00,35.00,210.00,55.00,1.00,16.00,210.00,98.00,139.00
Canon,Canon EOS 30D,1/1/2006,3504.00,2544.00,8.00,0.00,0.00,0.00,0.00,0.00,784.00,144.00,1299.00
Canon,Canon EOS 400D / Digital Rebel XTi,1/1/2006,3888.00,2816.00,10.00,0.00,0.00,0.00,0.00,0.00,556.00,127.00,1299.00
Canon,Canon PowerShot G7,1/1/2006,3648.00,2816.00,10.00,35.00,210.00,50.00,1.00,32.00,380.00,106.00,499.00
Canon,Canon PowerShot S3 IS,1/1/2006,2816.00,2272.00,6.00,36.00,432.00,50.00,10.00,16.00,510.00,113.00,399.00
Canon,Canon PowerShot SD40,1/1/2006,3072.00,2592.00,7.00,38.00,90.00,0.00,10.00,16.00,120.00,96.00,199.00
Canon,Canon PowerShot SD600,1/1/2006,2816.00,2272.00,6.00,35.00,105.00,30.00,3.00,16.00,170.00,86.00,199.00
Canon,Canon PowerShot SD630,1/1/2006,2816.00,2272.00,6.00,35.00,105.00,30.00,3.00,16.00,175.00,90.00,199.00
Canon,Canon PowerShot SD700 IS,1/1/2006,2816.00,2272.00,6.00,35.00,140.00,45.00,2.00,16.00,195.00,90.00,384.00
Canon,Canon PowerShot SD800 IS,1/1/2006,3072.00,2592.00,7.00,28.00,105.00,0.00,3.00,16.00,195.00,90.00,384.00
Canon,Canon PowerShot SD900,1/1/2006,3648.00,2816.00,10.00,37.00,111.00,0.00,5.00,32.00,205.00,91.00,199.00
Casio,Casio Exilim EX-S600d,1/1/2006,2816.00,2304.00,6.00,38.00,114.00,40.00,15.00,8.00,155.00,90.00,249.00
Casio,Casio Exilim EX-Z1000,1/1/2006,3648.00,2560.00,10.00,38.00,114.00,40.00,6.00,8.00,185.00,92.00,329.00
Casio,Casio Exilim EX-Z5,1/1/2006,2560.00,2304.00,4.00,38.00,114.00,40.00,10.00,8.00,160.00,95.00,329.00
Casio,Casio Exilim EX-Z60,1/1/2006,2816.00,2304.00,6.00,38.00,114.00,40.00,10.00,8.00,148.00,95.00,329.00
Casio,Casio Exilim EX-Z70,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,40.00,10.00,8.00,140.00,95.00,199.00
Casio,Casio Exilim EX-Z700,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,40.00,15.00,8.00,154.00,89.00,329.00
Casio,Casio Exilim EX-S770,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,40.00,15.00,6.00,176.00,95.00,249.00
Casio,Casio Exilim EX-Z850,1/1/2006,3264.00,2816.00,8.00,38.00,114.00,40.00,10.00,8.00,185.00,89.00,249.00
Fujifilm,Fujifilm FinePix A400 Zoom,1/1/2006,2303.00,1600.00,4.00,38.00,114.00,60.00,10.00,12.00,170.00,93.00,169.00
Fujifilm,Fujifilm FinePix A500 Zoom,1/1/2006,2592.00,2048.00,5.00,38.00,114.00,60.00,10.00,12.00,170.00,93.00,169.00
Fujifilm,Fujifilm FinePix A600 Zoom,1/1/2006,2848.00,2048.00,6.00,36.00,108.00,50.00,10.00,12.00,195.00,93.00,169.00
Fujifilm,Fujifilm FinePix F20 Zoom,1/1/2006,2848.00,2048.00,6.00,36.00,108.00,60.00,5.00,10.00,190.00,94.00,169.00
Fujifilm,Fujifilm FinePix F30 Zoom,1/1/2006,2848.00,2048.00,6.00,36.00,108.00,60.00,5.00,10.00,185.00,93.00,169.00
Fujifilm,Fujifilm FinePix F31 fd,1/1/2006,2848.00,2048.00,6.00,36.00,108.00,60.00,5.00,26.00,185.00,93.00,199.00
Fujifilm,Fujifilm FinePix F470 Zoom,1/1/2006,2816.00,2048.00,6.00,35.00,105.00,70.00,10.00,16.00,150.00,92.00,169.00
Fujifilm,Fujifilm FinePix F650 Zoom,1/1/2006,2816.00,2048.00,6.00,36.00,180.00,60.00,3.00,32.00,200.00,105.00,169.00
