name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Smacks,K,C,110,2,1,70,1,9,15,40,25.00,2,1,0.75,31.23
Special K,K,C,110,6,0,230,1,16,3,55,25.00,1,1,1,53.13
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,25.00,2,1,1,59.36
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100.00,3,1,1,38.84
Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100.00,3,1.5,1,28.59
Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100.00,3,1,1,46.66
Triples,G,C,110,2,1,250,0,21,3,60,25.00,3,1,0.75,39.11
Trix,G,C,110,1,1,140,0,13,12,25,25.00,2,1,1,27.75
Wheat Chex,R,C,100,3,1,230,3,17,3,115,25.00,1,1,0.67,49.79
Wheaties,G,C,100,3,1,200,3,17,3,110,25.00,1,1,1,51.59
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25.00,1,1,0.75,36.19
